,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio,Polarized Sentiment Ratio,Positive Sentiment Ratio,Negative Sentiment Ratio,At Home
0,7,2018-10-17 19:30:00+00:00,7:30p,Cleveland Cavaliers,104,Toronto Raptors,116,Box Score,,19915,,19800,1.0,0.6724137931034483,0.41379310344827586,0.25862068965517243,Home
1,21,2018-10-19 20:00:00+00:00,8:00p,Boston Celtics,101,Toronto Raptors,113,Box Score,,19800,,19800,1.0,0.6875,0.34375,0.34375,Home
2,26,2018-10-20 19:00:00+00:00,7:00p,Toronto Raptors,117,Washington Wizards,113,Box Score,,16185,,20356,0.7950972686185891,0.5161290322580645,0.3225806451612903,0.1935483870967742,Away
3,40,2018-10-22 19:30:00+00:00,7:30p,Charlotte Hornets,106,Toronto Raptors,127,Box Score,,19800,,19800,1.0,0.5454545454545454,0.18181818181818182,0.36363636363636365,Home
4,54,2018-10-24 19:30:00+00:00,7:30p,Minnesota Timberwolves,105,Toronto Raptors,112,Box Score,,19800,,19800,1.0,0.6206896551724138,0.3793103448275862,0.2413793103448276,Home
5,68,2018-10-26 19:30:00+00:00,7:30p,Dallas Mavericks,107,Toronto Raptors,116,Box Score,,19800,,19800,1.0,0.6578947368421053,0.2631578947368421,0.39473684210526316,Home
6,91,2018-10-29 20:00:00+00:00,8:00p,Toronto Raptors,109,Milwaukee Bucks,124,Box Score,,17341,,17500,0.9909142857142856,0.6333333333333333,0.4,0.23333333333333334,Away
7,99,2018-10-30 19:30:00+00:00,7:30p,Philadelphia 76ers,112,Toronto Raptors,129,Box Score,,19800,,19800,1.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,Home
8,122,2018-11-02 22:00:00+00:00,10:00p,Toronto Raptors,107,Phoenix Suns,98,Box Score,,15843,,18055,0.8774854610911105,0.5,0.15,0.35,Away
9,138,2018-11-04 21:30:00+00:00,9:30p,Toronto Raptors,121,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0,0.6,0.4,0.2,Away
10,145,2018-11-05 21:00:00+00:00,9:00p,Toronto Raptors,124,Utah Jazz,111,Box Score,,18306,,18306,1.0,0.5333333333333333,0.13333333333333333,0.4,Away
11,160,2018-11-07 22:00:00+00:00,10:00p,Toronto Raptors,114,Sacramento Kings,105,Box Score,,17583,,17583,1.0,0.5555555555555556,0.2222222222222222,0.3333333333333333,Away
12,173,2018-11-10 15:00:00+00:00,3:00p,New York Knicks,112,Toronto Raptors,128,Box Score,,19800,,19800,1.0,0.5,0.16666666666666666,0.3333333333333333,Home
13,191,2018-11-12 19:30:00+00:00,7:30p,New Orleans Pelicans,126,Toronto Raptors,110,Box Score,,19800,,19800,1.0,0.36363636363636365,0.045454545454545456,0.3181818181818182,Home
14,205,2018-11-14 19:30:00+00:00,7:30p,Detroit Pistons,106,Toronto Raptors,104,Box Score,,19800,,19800,1.0,0.6190476190476191,0.2857142857142857,0.3333333333333333,Home
15,215,2018-11-16 19:00:00+00:00,7:00p,Toronto Raptors,116,Boston Celtics,123,Box Score,OT,18624,,18624,1.0,0.5789473684210527,0.5263157894736842,0.05263157894736842,Away
16,229,2018-11-17 20:00:00+00:00,8:00p,Toronto Raptors,122,Chicago Bulls,83,Box Score,,21263,,20917,1.0,0.7333333333333333,0.3333333333333333,0.4,Away
17,247,2018-11-20 19:00:00+00:00,7:00p,Toronto Raptors,93,Orlando Magic,91,Box Score,,16016,,18846,0.8498355088612968,0.16666666666666666,0.0,0.16666666666666666,Away
18,253,2018-11-21 19:30:00+00:00,7:30p,Toronto Raptors,124,Atlanta Hawks,108,Box Score,,15058,,18118,0.8311071862236451,0.3333333333333333,0.0,0.3333333333333333,Away
19,270,2018-11-23 19:30:00+00:00,7:30p,Washington Wizards,107,Toronto Raptors,125,Box Score,,19800,,19800,1.0,0.6470588235294118,0.35294117647058826,0.29411764705882354,Home
20,290,2018-11-25 18:00:00+00:00,6:00p,Miami Heat,115,Toronto Raptors,125,Box Score,,19800,,19800,1.0,0.6428571428571429,0.42857142857142855,0.21428571428571427,Home
21,302,2018-11-27 20:00:00+00:00,8:00p,Toronto Raptors,122,Memphis Grizzlies,114,Box Score,,14187,,17794,0.7972912217601439,0.5172413793103449,0.3103448275862069,0.20689655172413793,Away
22,315,2018-11-29 20:00:00+00:00,8:00p,Golden State Warriors,128,Toronto Raptors,131,Box Score,OT,20073,,19800,1.0,0.5652173913043478,0.2608695652173913,0.30434782608695654,Home
23,332,2018-12-01 20:00:00+00:00,8:00p,Toronto Raptors,106,Cleveland Cavaliers,95,Box Score,,19432,,19432,1.0,0.7941176470588235,0.2647058823529412,0.5294117647058824,Away
